,Name,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,buraydah,107304.0,26.33,43.98,39.2,93.0,0.0,9.17
1,mataura,6201424.0,-46.19,168.86,77.65,58.0,64.0,0.58
2,aransas pass,4671141.0,27.91,-97.15,66.99,88.0,1.0,11.41
3,barra velha,3470597.0,-26.63,-48.68,72.0,83.0,0.0,6.4
4,fairbanks,5861897.0,64.84,-147.72,-9.0,74.0,1.0,6.04
5,chuy,3443061.0,-33.7,-53.46,65.59,80.0,3.0,5.46
6,rikitea,4030556.0,-23.12,-134.97,79.11,77.0,0.0,10.22
7,busselton,2075265.0,-33.65,115.33,84.0,33.0,97.0,5.23
8,albany,5106841.0,42.6,-73.97,39.99,93.0,90.0,9.17
9,egvekinot,4031742.0,66.32,-179.17,-5.75,89.0,67.0,4.85
11,bluff,2206939.0,-46.6,168.33,66.49,52.0,57.0,8.52
12,lorengau,2092164.0,-2.02,147.27,84.22,71.0,85.0,6.04
14,castro,3466704.0,-24.79,-50.01,61.63,93.0,0.0,2.84
15,clyde river,5924351.0,70.47,-68.59,-27.4,67.0,1.0,10.29
16,rincon,4218882.0,32.3,-81.24,51.8,86.0,1.0,5.55
17,smithers,6149996.0,54.78,-127.17,41.0,65.0,40.0,6.93
18,arraial do cabo,3471451.0,-22.97,-42.03,75.16,82.0,0.0,6.76
19,oranjestad,3577154.0,12.52,-70.03,80.6,74.0,20.0,10.29
20,mar del plata,3430863.0,-38.0,-57.56,66.2,55.0,0.0,11.41
21,isangel,2136825.0,-19.55,169.27,80.6,78.0,75.0,6.93
22,khandbari,1283217.0,27.37,87.2,37.15,77.0,48.0,2.71
24,hofn,2630299.0,64.25,-15.21,38.97,86.0,82.0,16.04
25,gigmoto,1712961.0,13.78,124.39,81.14,81.0,90.0,12.53
26,kodiak,5866583.0,57.79,-152.41,17.6,61.0,90.0,23.04
27,new norfolk,2155415.0,-42.78,147.06,72.0,56.0,75.0,11.41
28,yellowknife,6185377.0,62.46,-114.35,10.4,85.0,90.0,6.93
29,torbay,6167817.0,47.67,-52.73,19.99,78.0,5.0,13.87
30,saskylakh,2017155.0,71.92,114.08,-20.51,93.0,99.0,16.46
31,ushuaia,3833367.0,-54.8,-68.3,50.0,81.0,90.0,28.86
32,barrow,5880054.0,71.29,-156.79,-20.2,75.0,90.0,10.29
33,yatou,1786855.0,37.15,122.38,40.77,62.0,100.0,18.5
34,northam,2641434.0,51.03,-4.22,46.0,92.0,31.0,1.01
35,klaksvik,2618795.0,62.23,-6.59,44.6,93.0,100.0,13.87
36,aklavik,5882953.0,68.22,-135.01,-13.0,69.0,90.0,19.46
37,norman wells,6089245.0,65.28,-126.83,-11.2,63.0,20.0,13.87
38,hobart,2163355.0,-42.88,147.33,72.0,56.0,75.0,11.41
40,dikson,1507390.0,73.51,80.55,-5.84,95.0,100.0,5.39
41,nemuro,2128975.0,43.32,145.57,17.6,48.0,20.0,6.93
42,punta arenas,3874787.0,-53.15,-70.92,50.0,66.0,75.0,23.04
43,qaanaaq,3831208.0,77.48,-69.36,-12.03,43.0,55.0,4.43
44,kahului,5847411.0,20.89,-156.47,84.2,51.0,1.0,20.8
45,upernavik,3418910.0,72.79,-56.15,-14.24,94.0,100.0,7.61
46,cape town,3369157.0,-33.93,18.42,60.01,93.0,75.0,9.17
47,khatanga,2022572.0,71.97,102.5,-23.94,96.0,22.0,2.64
48,tasiilaq,3424607.0,65.61,-37.64,28.4,74.0,100.0,28.86
49,lebu,3883457.0,-37.62,-73.65,61.23,85.0,0.0,7.78
50,san cristobal,3628473.0,7.77,-72.22,78.8,74.0,40.0,2.24
51,carnarvon,2074865.0,-24.87,113.63,80.6,69.0,13.0,19.46
